Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
rezzato,13442,0.0106377506404255,425.51002561702046,76591.80461106368,919101.655332764,2518.08672693908,4.53359473691019,rezzato,39,10.9105134773595,64.56632633177128,1963.8924259247096,23566.709111096512,0.11624601889513307
manerbio,13418,0.0106187574835016,424.7502993400669,76455.05388121205,917460.6465745446,2513.590812532999,4.525500236561593,manerbio,45,9.438895540890375,55.857573611844415,1699.0011973602677,20388.014368323213,0.10056667192359095
sarezzo,13227,0.0104676036096494,418.70414438597896,75366.74598947621,904400.9518737146,2477.810827051273,4.461081504620673,sarezzo,34,12.314827776058205,72.8767890309198,2216.668999690477,26600.027996285724,0.13120827954766687
carpenedolo,13055,0.0103314859850286,413.25943940114576,74386.69909220624,892640.3891064748,2445.5901071410267,4.403070918789059,carpenedolo,32,12.914357481285805,76.42469084815708,2324.584346631445,27895.012159577338,0.13759596621215808
calcinato,12961,0.0102570961204102,410.2838448164114,73851.09206695405,886213.1048034485,2427.981109050544,4.371367459090386,calcinato,52,7.8900739387771415,46.69194440481816,1420.2133089798856,17042.559707758624,0.08406475882866128
mazzano,12718,0.0100647904065564,402.5916162622576,72466.49092720637,869597.8911264765,2382.459975688977,4.289410643060839,mazzano,15,26.839441084150508,158.8306650459318,4831.099395147091,57973.192741765095,0.2859607095373893
bagnolo mella,12549,0.009931046926551,397.2418770620436,71503.53787116783,858042.4544540141,2350.8012450794904,4.2324118697728,bagnolo mella,52,7.639266866577762,45.20771625152866,1375.0680359839969,16500.81643180796,0.08139253595716923
orzinuovi,12504,0.0098954347573188,395.8173902927558,71247.13025269605,854965.5630323526,2342.3714055680894,4.21723468161918,orzinuovi,68,5.820843974893468,34.446638317177786,1047.7519154808242,12573.02298576989,0.062018157082635
gavardo,12349,0.0097727706188524,390.9108247540979,70363.94845573763,844367.3814688516,2313.335291695484,4.164957700201155,gavardo,47,8.317251590512722,49.219899823308175,1497.10528629229,17965.26343550748,0.08861612128087563
bedizzole,12306,0.0097387412126972,389.5496485078897,70118.93673142014,841427.2407770416,2305.2801117179224,4.150455053743252,bedizzole,42,9.27499163114023,54.88762170756958,1669.4984936052413,20033.981923262898,0.09882035842245837
