Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali,Comune_nome_match,n_esagoni,EV Stimati (Attuali) per esagono,Domanda Giornaliera (kWh) - Attuali per esagono,Domanda Mensile (kWh) - Attuali per esagono,Domanda Annua (kWh) - Attuali per esagono,Colonnine Necessarie - Attuali per esagono
pontevico,7001,0.005568166092167,55.68166092167028,10022.69896590065,120272.3875908078,329.5133906597474,0.5932600166843276,pontevico,43,1.294922347015588,7.6631021083662185,233.08602246280583,2797.0322695536697,0.01379674457405413
pontoglio,6949,0.0055268084808554,55.26808480855403,9948.255265539725,119379.0631864767,327.0659265382924,0.5888535717668036,pontoglio,16,3.454255300534627,20.441620408643274,621.7659540962328,7461.191449154794,0.03680334823542523
passirano,6890,0.0054798834987902,54.7988349879029,9863.790297822525,118365.48357387028,324.28899609279523,0.5838539515719207,passirano,21,2.609468332757281,15.442333147275964,469.7042998963107,5636.451598755728,0.027802569122472413
castelcovati,6875,0.0054679534186042,54.679534186042446,9842.31615348764,118107.79384185169,323.5829968269909,0.5825828616918657,castelcovati,9,6.07550379844916,35.9536663141101,1093.5906837208488,13123.088204650187,0.06473142907687396
prevalle,6801,0.005409098356353,54.09098356353086,9736.377041435557,116836.52449722668,320.1000671156895,0.5763121516169278,prevalle,16,3.380686472720679,20.006254194730595,608.5235650897223,7302.282781076668,0.03601950947605799
torbole casaglia,6440,0.0051219810932089,51.21981093208921,9219.565967776058,110634.7916133127,303.1090181186649,0.5457212551702713,torbole casaglia,17,3.012930054828777,17.829942242274406,542.3274098691799,6507.928918430159,0.032101250304133605
quinzano d'oglio,6211,0.0049398485357019,49.39848535701958,8891.727364263525,106700.72837116227,292.3307626607186,0.5263159496680986,quinzano d'oglio,42,1.176154413262371,6.960256253826634,211.70779438722678,2540.4935326467207,0.012531332134954729
rudiano,5917,0.0047060189640554,47.06018964055464,8470.834135299836,101650.00962359805,278.49317705095353,0.501402588019021,rudiano,16,2.941261852534665,17.405823565684596,529.4271334562397,6353.125601474878,0.031337661751188815
villanuova sul clisi,5818,0.0046272804348275,46.27280434827563,8329.104782689614,99949.25739227537,273.83358189664483,0.4930133948106581,villanuova sul clisi,12,3.856067029022969,22.819465158053735,694.0920652241344,8329.104782689614,0.04108444956755484
dello,5619,0.0044690080376926,44.69008037692691,8044.214467846843,96530.57361416212,264.4673249703072,0.4761502690685953,dello,37,1.2078400101872138,7.147765539738032,217.41120183369847,2608.9344220043813,0.012868926191043116
trenzano,5480,0.004358455961302,43.58455961302001,7845.220730343603,94142.64876412324,257.925065107187,0.4643715028467526,trenzano,22,1.981116346046364,11.723866595781226,356.60094228834555,4279.2113074601475,0.0211077955839433
borgo san giacomo,5420,0.0043107356405578,43.10735640557819,7759.324153004074,93111.88983604888,255.10106804396955,0.4592871433265326,borgo san giacomo,43,1.0024966605948415,5.932582977766733,180.4493989070715,2165.3927868848577,0.01068109635643099
manerba del garda,5386,0.0042836941254694,42.83694125469449,7710.649425845007,92527.79311014008,253.50080304147968,0.4564060062650746,manerba del garda,47,0.9114242820147763,5.393634107265525,164.05637076265972,1968.6764491519166,0.009710766090746269
poncarale,5184,0.0041230357122973,41.23035712297367,7421.464282135261,89057.57138562313,243.9933462619812,0.4392886625470009,poncarale,17,2.4253151248808043,14.352549780116542,436.55672247854477,5238.680669742537,0.025840509561588287
montirone,5064,0.004027595070809,40.27595070809003,7249.671127456205,86996.05352947446,238.34535213554648,0.4291199435065612,montirone,10,4.027595070809003,23.83453521355465,724.9671127456205,8699.605352947447,0.04291199435065612
esine,5054,0.0040196416840183,40.196416840183055,7235.35503123295,86824.2603747954,237.87468595834355,0.4282725502531911,esine,53,0.7584229592487369,4.488201621855539,136.51613266477264,1638.1935919772716,0.008080614155720587
gottolengo,4975,0.0039568099283717,39.568099283717984,7122.257871069237,85467.09445283085,234.15642315844067,0.4215781435515682,gottolengo,44,0.8992749837208632,5.321736889964561,161.8694970697554,1942.4339648370647,0.009581321444353823
paratico,4960,0.0039448798481857,39.44879848185752,7100.783726734354,85209.40472081225,233.4504238926363,0.4203070536715132,paratico,4,9.86219962046438,58.36260597315908,1775.1959316835885,21302.351180203063,0.1050767634178783
roccafranca,4865,0.0038693226736741,38.6932267367413,6964.780812613434,83577.36975136121,228.9790952092088,0.4122568177644983,roccafranca,27,1.4330824717311594,8.480707229970696,257.9548449116087,3095.4581389393043,0.015268771028314752
cellatica,4859,0.0038645506415997,38.645506415997126,6956.191154879482,83474.29385855379,228.6966955028871,0.4117483818124764,cellatica,8,4.830688301999641,28.58708693786089,869.5238943599353,10434.286732319224,0.05146854772655955
padenghe sul garda,4838,0.0038478485293392,38.47848529339249,6926.127352810648,83113.52823372777,227.70829653076103,0.4099688559803995,padenghe sul garda,30,1.2826161764464163,7.590276551025368,230.87091176035491,2770.4509411242593,0.013665628532679984
piancogno,4782,0.0038033095633113,38.03309563311345,6845.957213960421,82151.48656752505,225.0725659384248,0.4052234537615275,piancogno,14,2.716649688079532,16.076611852744627,488.99694385431576,5867.963326251789,0.02894453241153768
