Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
mazzano,12845,0.0100651472434268,603.908834605614,108703.59022901052,1304443.0827481262,3573.81666506336,6.434344079605308,mazzano,15,40.2605889737076,238.25444433755732,7246.906015267367,86962.87218320841,0.42895627197368724
bagnolo mella,12674,0.0099311542361379,595.8692541682796,107256.46575029031,1287077.5890034838,3526.239969872558,6.348686404431113,bagnolo mella,52,11.45902411862076,67.81230711293381,2062.624341351737,24751.49209622084,0.1220901231621368
orzinuovi,12629,0.0098958929184303,593.7535751058231,106875.64351904816,1282507.7222285778,3513.7197869276106,6.326144910964221,orzinuovi,68,8.731670222144457,51.67234980775898,1571.7006399860022,18860.407679832027,0.09303154280829737
gavardo,12472,0.0097728700988727,586.3722059323641,105546.99706782552,1266563.9648139065,3470.038259764128,6.247500144868617,gavardo,47,12.476004381539662,73.8306012715772,2245.680788677139,26948.16946412567,0.1329255349972046
bedizzole,12429,0.009739175950841,584.3505570504612,105183.10026908302,1262197.203228996,3458.07452939451,6.225960495555807,bedizzole,42,13.913108501201458,82.33510784272643,2504.3595302162626,30052.31436259514,0.14823715465609064
castenedolo,11770,0.009222793542634,553.367612558044,99606.17026044792,1195274.0431253752,3274.7234058229456,5.895852846785088,castenedolo,33,16.76871553206194,99.23404260069532,3018.368795771149,36220.42554925379,0.178662207478336
gardone val trompia,11555,0.0090543228024755,543.25936814853,97786.6862667354,1173440.235200825,3214.904753974862,5.788154600221043,gardone val trompia,20,27.1629684074265,160.7452376987431,4889.33431333677,58672.01176004125,0.28940773001105213
castel mella,11073,0.0086766349105851,520.598094635108,93707.65703431945,1124491.8844118332,3080.799683320091,5.546710159086769,castel mella,12,43.383174552925674,256.7333069433409,7808.971419526621,93707.65703431943,0.46222584659056404
botticino,10872,0.0085191343581578,511.1480614894695,92006.6510681045,1104079.812817254,3024.8761994993265,5.446024821601316,botticino,23,22.223828760411717,131.51635649997073,4000.2891768741088,48003.47012248931,0.23678368789570942
cazzago san martino,10865,0.0085136492642921,510.81895585753176,91947.41205435572,1103368.944652269,3022.928615485668,5.442518367062021,cazzago san martino,29,17.61444675370799,104.23891777536787,3170.6004156674385,38047.204988009275,0.18767304714006972
