Comune,Popolazione,Superficie,Densità,Altitudine
Vezza d'Oglio,1471,53.75,27.0,1080
Cigole,1468,9.3,158.0,56
Maclodio,1465,4.66,314.0,109
Berzo Demo,1463,15.58,94.0,790
Preseglie,1459,11.64,125.0,391
Ossimo,1437,14.67,98.0,869
Seniga,1431,13.29,108.0,48
Vallio Terme,1429,15.02,95.0,304
Pezzaze,1423,21.53,66.0,620
Sellero,1362,14.43,94.0,476
Villachiara,1358,17.21,79.0,75
Bione,1284,17.63,73.0,600
Tavernole sul Mella,1205,19.81,61.0,475
Sonico,1190,61.01,20.0,650
Barghe,1154,5.54,208.0,295
Temù,1150,42.87,27.0,1144
Tignale,1143,45.83,25.0,555
Cedegolo,1121,10.76,104.0,413
Limone sul Garda,1104,23.29,47.0,65
Zone,1034,19.66,53.0,684
Ono San Pietro,958,14.4,67.0,516
Provaglio Val Sabbia,855,15.09,57.0,678
Cevo,793,34.8,23.0,1070
Saviore dell'Adamello,781,84.94,9.19,1210
Mura,767,12.72,60.0,691
Brione,761,6.44,118.0,614
Cerveno,693,21.16,33.0,500
Braone,685,13.45,51.0,394
Marmentino,655,18.08,36.0,875
Losine,626,6.4,98.0,391
Vione,619,35.54,17.0,1250
Paspardo,579,11.67,50.0,978
Longhena,562,3.6,156.0,91
Pertica Alta,558,20.8,27.0,900
Pertica Bassa,553,30.47,18.0,511
Cimbergo,538,24.69,22.0,850
Treviso Bresciano,532,17.88,30.0,687
Monno,521,31.16,17.0,1066
Lavenone,504,31.11,16.0,385
Anfo,436,24.15,18.0,400
Lozio,361,23.77,15.0,975
Incudine,344,19.39,18.0,910
Capovalle,341,23.18,15.0,960
Valvestino,167,30.96,5.39,680
Paisco Loveno,166,35.88,4.63,853
Irma,130,5.12,25.0,804
Magasa,102,19.33,5.28,970
