Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali
Pontevico,7001,0.005568166092167028,55.68166092167028,10022.69896590065,120272.3875908078,329.5133906597474,0.5932600166843276
Pontoglio,6949,0.005526808480855403,55.26808480855403,9948.255265539725,119379.0631864767,327.06592653829233,0.5888535717668036
Passirano,6890,0.00547988349879029,54.7988349879029,9863.790297822523,118365.48357387027,324.28899609279523,0.5838539515719207
Castelcovati,6875,0.005467953418604244,54.679534186042446,9842.31615348764,118107.79384185167,323.5829968269909,0.5825828616918657
Prevalle,6801,0.005409098356353086,54.09098356353086,9736.377041435555,116836.52449722667,320.1000671156895,0.5763121516169278
Torbole Casaglia,6440,0.005121981093208921,51.21981093208921,9219.565967776058,110634.7916133127,303.10901811866495,0.5457212551702713
Quinzano d'Oglio,6211,0.004939848535701958,49.39848535701958,8891.727364263525,106700.72837116229,292.3307626607186,0.5263159496680986
Rudiano,5917,0.004706018964055464,47.06018964055464,8470.834135299836,101650.00962359803,278.49317705095353,0.501402588019021
Villanuova sul Clisi,5818,0.004627280434827563,46.27280434827563,8329.104782689614,99949.25739227537,273.83358189664483,0.49301339481065815
Dello,5619,0.004469008037692691,44.69008037692691,8044.214467846843,96530.57361416212,264.4673249703072,0.47615026906859537
Trenzano,5480,0.004358455961302001,43.58455961302001,7845.220730343603,94142.64876412324,257.925065107187,0.46437150284675266
Borgo San Giacomo,5420,0.004310735640557819,43.10735640557819,7759.324153004074,93111.88983604888,255.10106804396955,0.45928714332653264
Manerba del Garda,5386,0.004283694125469448,42.83694125469449,7710.6494258450075,92527.79311014009,253.50080304147968,0.45640600626507466
Poncarale,5184,0.0041230357122973675,41.23035712297367,7421.464282135261,89057.57138562313,243.99334626198117,0.4392886625470009
Montirone,5064,0.004027595070809003,40.27595070809003,7249.671127456205,86996.05352947446,238.34535213554648,0.4291199435065612
Esine,5054,0.0040196416840183056,40.196416840183055,7235.35503123295,86824.2603747954,237.87468595834355,0.4282725502531911
Gottolengo,4975,0.003956809928371798,39.568099283717984,7122.257871069237,85467.09445283085,234.15642315844067,0.42157814355156825
Paratico,4960,0.003944879848185753,39.44879848185752,7100.783726734354,85209.40472081225,233.4504238926363,0.4203070536715132
Roccafranca,4865,0.0038693226736741305,38.6932267367413,6964.780812613434,83577.36975136121,228.9790952092088,0.41225681776449835
Cellatica,4859,0.0038645506415997126,38.645506415997126,6956.191154879482,83474.29385855379,228.6966955028871,0.41174838181247647
Padenghe sul Garda,4838,0.0038478485293392487,38.47848529339249,6926.127352810648,83113.52823372777,227.70829653076103,0.4099688559803995
Piancogno,4782,0.003803309563311345,38.03309563311345,6845.957213960421,82151.48656752505,225.0725659384248,0.4052234537615275
Pian Camuno,4770,0.0037937654991625084,37.93765499162508,6828.777898492514,81945.33478191018,224.5077665257813,0.40420658185748354
Nuvolera,4720,0.003753998565209023,37.53998565209023,6757.197417376242,81086.3690085149,222.15443563976686,0.39996961559063365
Capriano del Colle,4713,0.003748431194455535,37.48431194455535,6747.176150019964,80966.11380023956,221.82496931572481,0.3993764403132746
San Zeno Naviglio,4674,0.0037174129859718166,37.174129859718164,6691.343374749269,80296.12049699124,219.98937122463352,0.39607160662513163
Breno,4643,0.0036927574869206553,36.92757486920655,6646.963476457179,79763.56171748615,218.53030607530454,0.3934446875396847
Monticelli Brusati,4598,0.0036569672463625186,36.56967246362519,6582.541043452534,78990.49252143041,216.41230827789153,0.38963141789951977
Gambara,4539,0.003610042264297406,36.10042264297406,6498.076075735331,77976.91290882397,213.63537783239445,0.3846317977046369
Collebeato,4454,0.0035424384765764807,35.424384765764806,6376.389257837665,76516.67109405198,209.6347153261698,0.37742895505099194
San Paolo,4429,0.003522555009599738,35.22555009599738,6340.599017279528,76087.18820735434,208.45804988316257,0.375310471917567
Edolo,4391,0.003492332139795089,34.92332139795089,6286.197851631161,75434.37421957393,206.6695184097916,0.3720903775547611
Roè Volciano,4353,0.00346210926999044,34.621092699904395,6231.796685982791,74781.5602317935,204.88098693642053,0.36887028319195503
Marcheno,4161,0.003309404243609056,33.09404243609056,5956.927638496301,71483.13166195562,195.84419633412497,0.3526003327272514
Vestone,4145,0.0032966788247439406,32.9667882474394,5934.021884539093,71208.26261446912,195.09113045060033,0.3512445035218594
Comezzano-Cizzago,4102,0.003262479261543943,32.62479261543943,5872.462670779098,70469.55204934918,193.06726588862787,0.3476007125323684
Offlaga,4093,0.003255321213432316,32.55321213432316,5859.578184178169,70314.93821013803,192.6436663291453,0.34683805860433553
Isorella,4060,0.0032290750370230154,32.29075037023016,5812.335066641428,69748.02079969714,191.09046794437575,0.3440416608682145
Sabbio Chiese,4005,0.0031853314096741817,31.85331409674182,5733.596537413528,68803.15844896233,188.50180396975983,0.33938099797467963
Nuvolento,3890,0.003093867461581165,30.93867461581165,5568.961430846097,66827.53717015317,183.0891429319265,0.3296359755609247
Verolavecchia,3814,0.0030334217219718674,30.334217219718674,5460.159099549362,65521.90919459234,179.5120799851845,0.32319578683531286
Bienno,3771,0.00299922215877187,29.9922215877187,5398.5998857893655,64783.19862947239,177.48821542321204,0.3195519958458219
Bagolino,3767,0.002996040804055591,29.960408040555908,5392.873447300063,64714.48136760076,177.29994895233085,0.31921303854447386
Lograto,3763,0.0029928594493393123,29.928594493393124,5387.147008810763,64645.76410572915,177.11168248144972,0.31887408124312594
Urago d'Oglio,3755,0.0029864967399067543,29.86496739906754,5375.694131832158,64508.32958198589,176.73514953968737,0.3181961666404299
Pompiano,3711,0.002951501838027687,29.51501838027687,5312.703308449837,63752.43970139805,174.66421835999466,0.314467636325602
Calvagese della Riviera,3671,0.002919688290864899,29.19688290864899,5255.438923556819,63065.26708268182,172.78155365118306,0.311078063312122
Paderno Franciacorta,3640,0.002895032791813738,28.95032791813738,5211.059025264728,62532.70830317674,171.32248850185408,0.3084511442266751
Pozzolengo,3584,0.002850493825785834,28.504938257858342,5130.888886414502,61570.66663697403,168.6867579095179,0.3037057420078032
