Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo
Pozzolengo,3602,0.002850556301652484,114.02225206609936,20524.005371897885,246288.0644627746,674.7618204459578,1.2148495939853075
Artogne,3600,0.0028489735385754974,113.9589415430199,20512.609477743583,246151.313732923,674.3871609121178,1.214175052289591
Mairano,3537,0.002799116501650426,111.96466006601705,20153.63881188307,241843.66574259684,662.5853855961558,1.1929269888745235
San Felice del Benaco,3482,0.0027555905170333008,110.22362068133204,19840.251722639765,238083.0206716772,652.2822484155539,1.1743770922423211
Puegnago del Garda,3471,0.0027468853201098754,109.87541280439501,19777.574304791102,237330.89165749322,650.2216209794335,1.1706671129158808
Azzano Mella,3435,0.0027183955847241204,108.73582338896482,19572.448210013667,234869.378520164,643.4777493703124,1.158525362392985
Remedello,3391,0.0026835747970304197,107.34299188121679,19321.73853861902,231860.86246342826,635.2352396258309,1.1436854450872231
Sale Marasino,3276,0.0025925659201037027,103.70263680414811,18666.47462474666,223997.69549695993,613.6923164300272,1.104899297583528
Ome,3179,0.002515801910869863,100.63207643479451,18113.77375826301,217365.28509915614,595.521329038784,1.0721840253412807
Marone,3128,0.00247544145240671,99.01765809626839,17823.17845732831,213878.14148793975,585.9675109258624,1.0549832121005114
Serle,3096,0.0024501172431749276,98.0046897269971,17640.844150859477,211690.12981031372,579.9729583844212,1.0441905449690483
Malonno,3020,0.002389972246249445,95.59888984997781,17207.800172996005,206493.60207595205,565.7358960984988,1.0185579605318236
Pralboino,2812,0.002225364886242861,89.01459544971443,16022.627180948599,192271.5261713832,526.771304579132,0.948405624177314
Berlingo,2769,0.002191335480087653,87.65341920350613,15777.615456631103,189331.38547957325,518.7161246015705,0.9339029777194104
Polpenazze del Garda,2743,0.00217075956008683,86.83038240347321,15629.468832625178,187553.62599150214,513.8455506616497,0.9251339356750967
Muscoline,2710,0.002144643969316555,85.78575877266219,15441.436579079194,185297.23894895034,507.6636683532886,0.9140039976957754
Gargnano,2706,0.002141478443162582,85.65913772650329,15418.644790770591,185023.7374892471,506.9143492856085,0.9126549143043426
San Gervasio Bresciano,2693,0.0021311904831621707,85.24761932648683,15344.57147876763,184134.85774521157,504.47906231564815,0.908270393282186
Pavone del Mella,2689,0.002128024957008198,85.12099828032792,15321.779690459027,183861.35628550831,503.729743247968,0.9069213098907529
Cividate Camuno,2669,0.002112197326238334,84.48789304953337,15207.820748916007,182493.8489869921,499.9831479095674,0.9001758929335887
Gardone Riviera,2644,0.0020924127877760042,83.69651151104017,15065.37207198723,180784.46486384678,495.29990373656653,0.8917441217371331
Moniga del Garda,2635,0.0020852903539295654,83.41161415718261,15014.09054829287,180169.08657951443,493.6139358342861,0.8887086841064089
Polaveno,2470,0.0019547124000781884,78.18849600312754,14073.929280562958,168887.15136675548,462.70452429248076,0.8330589942098027
Berzo Inferiore,2462,0.0019483813477702428,77.93525391080972,14028.34570394575,168340.148447349,461.2058861571205,0.830360827426937
Orzivecchi,2458,0.0019452158216162702,77.8086328646508,14005.553915637145,168066.64698764574,460.4565670894404,0.8290117440355042
Borno,2448,0.0019373020062313383,77.49208024925353,13948.574444865635,167382.89333838763,458.5832694202401,0.825639035556922
